source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
codex,ai-agent-dev,ai-agent,ai-automation,exact,no,ai-agent-dev,WIN,通用
codex,ai-agent-rag,coff0xc-ai-agent-rag,ai-automation,exact,yes,coff0xc-ai-agent-rag,WIN,通用
codex,ai-orchestrator,ai-orchestrator,ai-automation,exact,no,ai-orchestrator,WIN,通用
codex,mlops,mlops,ai-automation,exact,no,mlops,WIN,通用
codex,playwright,playwright,ai-automation,kw:playwright,yes,playwright,WIN,通用
codex,playwright-e2e,playwright-e2e,ai-automation,kw:playwright,no,playwright-e2e,WIN,通用
codex,playwright-interactive,playwright-interactive,ai-automation,kw:playwright,yes,playwright-interactive,WIN,通用
codex,prompt-engineering,prompt,ai-automation,exact,no,prompt-engineering,WIN,通用
codex,rag-engineering,rag,ai-automation,kw:rag,no,rag-engineering,WIN,通用
codex,speech,speech,ai-automation,kw:speech,yes,speech,WIN,通用
codex,transcribe,transcribe,ai-automation,kw:transcribe,yes,transcribe,WIN,通用
cskills,agent-briefing,agent-briefing,ai-automation,rule:csk-readme,no,agent-briefing,WIN,通用
cskills,ai-engineering,ai,ai-automation,rule:csk-readme,no,ai-engineering,WIN,通用
cskills,ai-image-prompt,ai-image-prompt,ai-automation,rule:csk-readme,no,ai-image-prompt,WIN,通用
cskills,autojs-automation,autojs-automation,ai-automation,rule:csk-readme,no,autojs-automation,WIN,通用
cskills,llm-eval,llm-eval,ai-automation,rule:csk-readme,no,llm-eval,WIN,通用
cskills,mcp-tool-use,mcp-tool-use,ai-automation,rule:csk-readme,no,mcp-tool-use,WIN,通用
cskills,prompt-engineering,prompt,ai-automation,rule:csk-readme,no,prompt-engineering,dup,
ours,llm-guardrails,llm-guardrails,ai-automation,rule:ours-path,no,ai-automation/ours/llm-guardrails,WIN,通用
community,ai-act-readiness,ai-act-readiness,ai-governance-compliance,rule:community-path,yes,ai-governance-compliance/community/ai-act-readiness,WIN,通用
community,aims-audit,aims-audit,ai-governance-compliance,rule:community-path,yes,ai-governance-compliance/community/aims-audit,WIN,通用
community,aeo,aeo,answer-engine-optimization,rule:community-path,yes,answer-engine-optimization/community/aeo,WIN,通用
community,app-store-optimization,app-store-optimization,app-store-growth,rule:community-path,yes,app-store-growth/community/app-store-optimization,WIN,通用
codex,api-data-platform,coff0xc-api-data-platform,backend-api,exact,yes,coff0xc-api-data-platform,WIN,通用
codex,api-design,api-design,backend-api,kw:api-design,no,api-design,WIN,通用
codex,api-design-2,anna-api-design,backend-api,kw:api-design,no,anna-api-design,WIN,通用
codex,api-discovery,api-discovery,backend-api,kw:api-discovery,no,api-discovery,WIN,通用
codex,aspnet-core,aspnet-core,backend-api,kw:aspnet,yes,aspnet-core,WIN,半通用
codex,backend-engineering,anna-backend,backend-api,kw:backend,no,anna-backend-engineering,WIN,通用
codex,cms-headless,cms-headless,backend-api,exact,no,cms-headless,WIN,通用
codex,django-dev,django,backend-api,kw:django,no,django-dev,WIN,通用
codex,event-driven,event-driven,backend-api,kw:event-driven,no,event-driven,WIN,通用
codex,fastapi-dev,fastapi,backend-api,kw:fastapi,no,fastapi-dev,WIN,通用
codex,graphql-dev,graphql,backend-api,kw:graphql,no,graphql-dev,WIN,通用
codex,laravel-dev,laravel,backend-api,kw:laravel,no,laravel-dev,WIN,通用
codex,microservices,microservices,backend-api,kw:microservice,no,microservices,WIN,通用
codex,nestjs-dev,nestjs,backend-api,kw:nestjs,no,nestjs-dev,WIN,通用
codex,rails-dev,rails,backend-api,kw:rails,no,rails-dev,WIN,通用
codex,realtime-communication,realtime-communication,backend-api,kw:realtime,no,realtime-communication,WIN,通用
codex,service-mesh,service-mesh,backend-api,kw:service-mesh,no,service-mesh,WIN,通用
codex,spring-boot-dev,spring-boot,backend-api,kw:spring,no,spring-boot-dev,WIN,通用
cskills,api-engineering,api,backend-api,rule:csk-readme,no,api-engineering,WIN,通用
cskills,backend-engineering,backend,backend-api,rule:csk-readme,no,backend-engineering,WIN,通用
cskills,graphql,graphql,backend-api,rule:csk-readme,no,graphql,dup,
cskills,graphql-grpc-events,graphql-grpc-events,backend-api,rule:csk-readme,no,graphql-grpc-events,WIN,通用
codex,supabase-postgres-best-practices,supabase-postgres-best-practices,backend-api,rule:openai-plugins,no,backend-api/codex/supabase-postgres-best-practices,WIN,半通用
cskills,sdk-integration,sdk-integration,backend-api,rule:csk-readme,no,sdk-integration,WIN,通用
ours,api-error-observability,api-error-observability,backend-api,rule:ours-path,no,backend-api/ours/api-error-observability,WIN,通用
ours,auth-access-control,auth-access-control,backend-api,rule:ours-path,no,backend-api/ours/auth-access-control,WIN,通用
ours,background-jobs,background-jobs,backend-api,rule:ours-path,no,backend-api/ours/background-jobs,WIN,通用
ours,database-transaction-consistency,database-transaction-consistency,backend-api,rule:ours-path,no,backend-api/ours/database-transaction-consistency,WIN,通用
ours,dockerfile-best,dockerfile-best,backend-api,rule:ours-path,no,backend-api/ours/dockerfile-best,WIN,通用
ours,websocket-impl,websocket-impl,backend-api,rule:ours-path,no,backend-api/ours/websocket-impl,WIN,通用
community,brand-guidelines,brand-guidelines,brand-strategy,rule:community-path,yes,brand-strategy/community/brand-guidelines,WIN,通用
community,competitor-alternatives,competitor-alternatives,brand-strategy,rule:community-path,yes,brand-strategy/community/competitor-alternatives,WIN,通用
community,marketing-psychology,marketing-psychology,brand-strategy,rule:community-path,yes,brand-strategy/community/marketing-psychology,WIN,通用
community,capacity-planner,capacity-planner,business-operations,rule:community-path,yes,business-operations/community/capacity-planner,WIN,通用
community,internal-comms,internal-comms,business-operations,rule:community-path,yes,business-operations/community/internal-comms,WIN,通用
community,knowledge-ops,knowledge-ops,business-operations,rule:community-path,yes,business-operations/community/knowledge-ops,WIN,通用
community,process-mapper,process-mapper,business-operations,rule:community-path,yes,business-operations/community/process-mapper,WIN,通用
community,procurement-optimizer,procurement-optimizer,business-operations,rule:community-path,yes,business-operations/community/procurement-optimizer,WIN,通用
community,vendor-management,vendor-management,business-operations,rule:community-path,yes,business-operations/community/vendor-management,WIN,通用
community,change-management,change-management,change-org-management,rule:community-path,yes,change-org-management/community/change-management,WIN,通用
community,chief-of-staff,chief-of-staff,change-org-management,rule:community-path,yes,change-org-management/community/chief-of-staff,WIN,通用
community,culture-architect,culture-architect,change-org-management,rule:community-path,yes,change-org-management/community/culture-architect,WIN,通用
community,org-health-diagnostic,org-health-diagnostic,change-org-management,rule:community-path,yes,change-org-management/community/org-health-diagnostic,WIN,通用
codex,chaos-engineering,chaos,cloud-infra,kw:chaos,no,chaos-engineering,WIN,通用
codex,cloudflare-deploy,cloudflare-deploy,cloud-infra,kw:deploy,yes,cloudflare-deploy,WIN,半通用
codex,render-background-workers,render-background-workers,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-background-workers,WIN,半通用
codex,render-blueprints,render-blueprints,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-blueprints,WIN,半通用
codex,render-cli,render-cli,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-cli,WIN,半通用
codex,render-cron-jobs,render-cron-jobs,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-cron-jobs,WIN,半通用
codex,render-debug,render-debug,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-debug,WIN,半通用
codex,render-disks,render-disks,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-disks,WIN,半通用
codex,render-docker,render-docker,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-docker,WIN,半通用
codex,render-domains,render-domains,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-domains,WIN,半通用
codex,render-env-vars,render-env-vars,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-env-vars,WIN,半通用
codex,render-keyvalue,render-keyvalue,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-keyvalue,WIN,半通用
codex,render-mcp,render-mcp,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-mcp,WIN,半通用
codex,render-migrate-from-heroku,render-migrate-from-heroku,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-migrate-from-heroku,WIN,半通用
codex,render-monitor,render-monitor,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-monitor,WIN,半通用
codex,render-networking,render-networking,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-networking,WIN,半通用
codex,render-postgres,render-postgres,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-postgres,WIN,半通用
codex,render-private-services,render-private-services,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-private-services,WIN,半通用
codex,render-scaling,render-scaling,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-scaling,WIN,半通用
codex,render-static-sites,render-static-sites,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-static-sites,WIN,半通用
codex,render-web-services,render-web-services,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-web-services,WIN,半通用
codex,render-workflows,render-workflows,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-workflows,WIN,半通用
codex,disaster-recovery,disaster-recovery,cloud-infra,kw:disaster,no,disaster-recovery,WIN,通用
codex,docker-k8s,docker-k8s,cloud-infra,kw:docker,no,docker-k8s,WIN,通用
codex,edge-computing,edge-computing,cloud-infra,kw:edge-comput,no,edge-computing,WIN,通用
codex,finops,finops,cloud-infra,kw:finops,no,finops,WIN,通用
codex,monitoring-observability,monitoring-observability,cloud-infra,kw:monitoring,no,monitoring-observability,WIN,通用
codex,netlify-deploy,netlify-deploy,cloud-infra,kw:deploy,yes,netlify-deploy,WIN,半通用
codex,render-deploy,render-deploy,cloud-infra,kw:deploy,yes,render-deploy,WIN,半通用
codex,sre-practices,sre-practices,cloud-infra,kw:sre,no,sre-practices,WIN,通用
codex,vercel-deploy,vercel-deploy,cloud-infra,kw:deploy,yes,vercel-deploy,WIN,半通用
cskills,cloud-native,cloud-native,cloud-infra,rule:csk-readme,no,cloud-native,WIN,通用
cskills,finops,finops,cloud-infra,rule:csk-readme,no,finops,dup,
cskills,k8sops,k8sops,cloud-infra,rule:csk-readme,no,k8sops,WIN,通用
cskills,platform-engineering,platform,cloud-infra,rule:csk-readme,no,platform-engineering,WIN,通用
cskills,release-engineering,release,cloud-infra,rule:csk-readme,no,release-engineering,WIN,通用
cskills,terraform,terraform,cloud-infra,rule:csk-readme,no,terraform,WIN,通用
cskills,terraform-iac,terraform-iac,cloud-infra,rule:csk-readme,no,terraform-iac,WIN,通用
community,channel-economics,channel-economics,commercial-strategy,rule:community-path,yes,commercial-strategy/community/channel-economics,WIN,通用
community,commercial-forecaster,commercial-forecaster,commercial-strategy,rule:community-path,yes,commercial-strategy/community/commercial-forecaster,WIN,通用
community,commercial-policy,commercial-policy,commercial-strategy,rule:community-path,yes,commercial-strategy/community/commercial-policy,WIN,通用
community,deal-desk,deal-desk,commercial-strategy,rule:community-path,yes,commercial-strategy/community/deal-desk,WIN,通用
community,partnerships-architect,partnerships-architect,commercial-strategy,rule:community-path,yes,commercial-strategy/community/partnerships-architect,WIN,通用
community,pricing-strategist,pricing-strategist,commercial-strategy,rule:community-path,yes,commercial-strategy/community/pricing-strategist,WIN,通用
community,rfp-responder,rfp-responder,commercial-strategy,rule:community-path,yes,commercial-strategy/community/rfp-responder,WIN,通用
community,compliance-readiness,compliance-readiness,compliance-programs,rule:community-path,yes,compliance-programs/community/compliance-readiness,WIN,通用
codex,doc-office,doc-office,content-authoring,kw:doc-office,no,doc-office,WIN,通用
codex,jupyter-notebook,jupyter-notebook,content-authoring,kw:jupyter,yes,jupyter-notebook,WIN,通用
codex,notion-knowledge-capture,notion-knowledge-capture,content-authoring,kw:notion,yes,notion-knowledge-capture,WIN,半通用
codex,notion-meeting-intelligence,notion-meeting-intelligence,content-authoring,kw:notion,yes,notion-meeting-intelligence,WIN,半通用
codex,notion-research-documentation,notion-research-documentation,content-authoring,kw:document,yes,notion-research-documentation,WIN,半通用
codex,notion-spec-to-implementation,notion-spec-to-implementation,content-authoring,kw:notion,yes,notion-spec-to-implementation,WIN,半通用
codex,office-doc-tools,coff0xc-office-doc-tools,content-authoring,exact,yes,coff0xc-office-doc-tools,WIN,通用
codex,pdf,pdf,content-authoring,kw:pdf,yes,pdf,WIN,通用
codex,quick-translate,quick-translate,content-authoring,kw:translate,no,quick-translate,WIN,通用
codex,research-drawio-diagram,coff0xc-research-drawio-diagram,content-authoring,exact,yes,coff0xc-research-drawio-diagram,WIN,通用
codex,research-paper-writing,research-paper-writing,content-authoring,kw:research-paper,no,research-paper-writing,WIN,通用
codex,technical-writing,technical-writing,content-authoring,kw:technical-writing,no,technical-writing,WIN,通用
cskills,document-authoring,document-authoring,content-authoring,rule:csk-readme,no,document-authoring,WIN,通用
cskills,presentation-authoring,presentation-authoring,content-authoring,rule:csk-readme,no,presentation-authoring,WIN,通用
community,content-creator,content-creator,content-strategy,rule:community-path,yes,content-strategy/community/content-creator,WIN,通用
community,content-production,content-production,content-strategy,rule:community-path,yes,content-strategy/community/content-production,WIN,通用
community,content-strategy,content-strategy,content-strategy,rule:community-path,yes,content-strategy/community/content-strategy,WIN,通用
community,form-cro,form-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/form-cro,WIN,通用
community,onboarding-cro,onboarding-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/onboarding-cro,WIN,通用
community,page-cro,page-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/page-cro,WIN,通用
community,paywall-upgrade-cro,paywall-upgrade-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/paywall-upgrade-cro,WIN,通用
community,popup-cro,popup-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/popup-cro,WIN,通用
community,signup-flow-cro,signup-flow-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/signup-flow-cro,WIN,通用
community,content-humanizer,content-humanizer,copywriting-editing,rule:community-path,yes,copywriting-editing/community/content-humanizer,WIN,通用
community,copy-editing,copy-editing,copywriting-editing,rule:community-path,yes,copywriting-editing/community/copy-editing,WIN,通用
community,copywriting,copywriting,copywriting-editing,rule:community-path,yes,copywriting-editing/community/copywriting,WIN,通用
community,customer-success-manager,customer-success-manager,customer-success,rule:community-path,yes,customer-success/community/customer-success-manager,WIN,通用
codex,data-engineering,data,data-analysis,kw:data-eng,no,data-engineering,WIN,通用
codex,data-visualization,data-visualization,data-analysis,kw:data-visual,no,data-visualization,WIN,通用
codex,database,database,data-analysis,kw:database,no,database,WIN,通用
codex,db-design,anna-db-design,data-analysis,exact,no,anna-db-design,WIN,通用
codex,sql-optimization,sql-optimization,data-analysis,kw:sql,no,sql-optimization,WIN,通用
codex,airtable-filters,airtable-filters,data-analysis,rule:openai-plugins,yes,data-analysis/codex/airtable-filters,WIN,半通用
codex,airtable-overview,airtable-overview,data-analysis,rule:openai-plugins,yes,data-analysis/codex/airtable-overview,WIN,半通用
cskills,data-engineering,data,data-analysis,rule:csk-readme,no,data-engineering,dup,
cskills,database-engineering,database,data-analysis,rule:csk-readme,no,database-engineering,dup,
cskills,spreadsheet-analysis,spreadsheet-analysis,data-analysis,rule:csk-readme,no,spreadsheet-analysis,WIN,通用
ours,validation-schema,validation-schema,data-analysis,rule:ours-path,no,data-analysis/ours/validation-schema,WIN,通用
community,cold-email,cold-email,email-marketing,rule:community-path,yes,email-marketing/community/cold-email,WIN,通用
community,email-sequence,email-sequence,email-marketing,rule:community-path,yes,email-marketing/community/email-sequence,WIN,通用
community,inbox-setup,inbox-setup,email-productivity,rule:community-path,yes,email-productivity/community/inbox-setup,WIN,通用
community,inbox-triage,inbox-triage,email-productivity,rule:community-path,yes,email-productivity/community/inbox-triage,WIN,通用
codex,domains,domains,engineering-core,exact,yes,domains,WIN,通用
codex,perf-engineering,anna-perf,engineering-core,exact,no,anna-perf-engineering,WIN,通用
codex,shell-scripting,shell-scripting,engineering-core,kw:shell-scripting,no,shell-scripting,WIN,通用
codex,shell-scripting-2,anna-shell-scripting,engineering-core,kw:shell-scripting,no,anna-shell-scripting,WIN,通用
codex,software-engineering,coff0xc-software,engineering-core,exact,yes,coff0xc-software-engineering,WIN,通用
codex,system-design,system-design,engineering-core,exact,no,system-design,WIN,通用
cskills,ponytail,ponytail,engineering-core,rule:csk-readme,no,ponytail,WIN,通用
ours,api-versioning,api-versioning,engineering-core,rule:ours-path,no,engineering-core/ours/api-versioning,WIN,通用
ours,concurrency-patterns,concurrency-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/concurrency-patterns,WIN,通用
ours,datetime-timezones,datetime-timezones,engineering-core,rule:ours-path,no,engineering-core/ours/datetime-timezones,WIN,通用
ours,dependency-injection,dependency-injection,engineering-core,rule:ours-path,no,engineering-core/ours/dependency-injection,WIN,通用
ours,environment-config,environment-config,engineering-core,rule:ours-path,no,engineering-core/ours/environment-config,WIN,通用
ours,error-handling-patterns,error-handling-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/error-handling-patterns,WIN,通用
ours,feature-flags,feature-flags,engineering-core,rule:ours-path,no,engineering-core/ours/feature-flags,WIN,通用
ours,graceful-shutdown,graceful-shutdown,engineering-core,rule:ours-path,no,engineering-core/ours/graceful-shutdown,WIN,通用
ours,http-caching,http-caching,engineering-core,rule:ours-path,no,engineering-core/ours/http-caching,WIN,通用
ours,idempotency-design,idempotency-design,engineering-core,rule:ours-path,no,engineering-core/ours/idempotency-design,WIN,通用
ours,memory-leaks,memory-leaks,engineering-core,rule:ours-path,no,engineering-core/ours/memory-leaks,WIN,通用
ours,migration-zero-downtime,migration-zero-downtime,engineering-core,rule:ours-path,no,engineering-core/ours/migration-zero-downtime,WIN,通用
ours,monorepo,monorepo,engineering-core,rule:ours-path,no,engineering-core/ours/monorepo,WIN,通用
ours,pagination,pagination,engineering-core,rule:ours-path,no,engineering-core/ours/pagination,WIN,通用
ours,rate-limiting-algorithms,rate-limiting-algorithms,engineering-core,rule:ours-path,no,engineering-core/ours/rate-limiting-algorithms,WIN,通用
ours,regex-patterns,regex-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/regex-patterns,WIN,通用
ours,string-encoding,string-encoding,engineering-core,rule:ours-path,no,engineering-core/ours/string-encoding,WIN,通用
ours,structured-logging,structured-logging,engineering-core,rule:ours-path,no,engineering-core/ours/structured-logging,WIN,通用
